"Y","E1","E2","E3","E4","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20"
270.586628134042,8.11515490524471,9.61988108232617,7.54960433812812,8.65246597677469,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1
216.906815961214,7.85995106678456,6.37887520017102,13.2717327121645,5.05419426597655,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
286.216321592015,9.08536778530106,5.74286072282121,11.7972367722541,8.82489685202017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
276.368498826445,9.35467360774055,12.2168022789992,10.9739563660696,12.8468333184719,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
297.011090023984,12.8315366874449,7.66933227423579,9.68327757436782,10.4008821374737,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0
209.460245575762,9.41309209913015,11.4659566758201,6.70346427476034,7.28124513523653,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
243.225118918732,13.2217971095815,6.32515906821936,14.2412124411203,8.91978336963803,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
285.908084844997,8.94107659580186,7.10075573762879,8.55927585856989,14.0263256500475,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
251.887320708582,5.10082916589454,14.4745049625635,9.9751467211172,9.83612952986732,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
290.61835214788,8.9066345943138,9.95648839976639,9.23041547182947,11.1066016880795,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
238.671462517471,5.52722517633811,10.2979936171323,5.5056542577222,8.93692466896027,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
239.979717449565,11.5468359249644,6.52029941324145,10.7884634146467,8.01465177210048,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0
213.543288239762,13.5345444502309,10.969009285327,11.6803893889301,7.98645684262738,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
303.583401671991,10.0422101793811,12.447274364531,13.0037117376924,13.1593969743699,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0
285.426160911766,9.51830961508676,9.204829079099,13.2397657982074,5.30702016549185,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1
173.119502107397,10.3347969078459,11.5215603564866,11.4639560761862,6.24193200375885,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
396.571180613155,6.09653010033071,7.91385909542441,10.7567404466681,12.38622169476,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0
255.35159338734,7.97506328672171,10.9723260579631,12.8296660492197,7.43468211963773,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
249.690081678567,13.5634867311455,7.46356206014752,14.9899928923696,8.51263423217461,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
320.277152130062,8.39571030111983,6.59282055916265,13.4059870406054,14.1128518572077,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
322.087398589478,11.1597681720741,6.27397379372269,9.35555665288121,13.6566689051688,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0
276.831219305987,7.74105234537274,6.36570381233469,13.8592652068473,8.82545528700575,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0
219.587932709908,14.8807375621982,8.94277421757579,10.3507095016539,8.87418914819136,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1
195.396388277477,9.04186757747084,8.13736606622115,12.6561602414586,7.27214403450489,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1
298.221103509511,11.6687440592796,13.0373554909602,14.6164532680996,6.59232913982123,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
244.491187892417,13.1674808170646,7.46487087570131,14.8689971677959,5.61518758069724,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1
325.063899948178,13.3021849161014,6.5687959571369,12.1381429047324,9.84718792838976,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
286.625219117841,7.05223978264257,5.24078395450488,9.83542373403907,12.5816784496419,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
221.496020128691,11.5592813096009,9.06359342625365,12.6591348042712,7.57675959728658,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
177.580341265978,12.339351545088,13.7926244037226,6.6377739678137,5.59036594582722,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
119.183535340408,9.7517128335312,11.3779122009873,7.20030943863094,13.4396093618125,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0
348.807795488537,12.7092902548611,10.6706350902095,10.6789666973054,13.4371361555532,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0
239.916759239302,11.9856728659943,11.6132780117914,9.35992321465164,9.17495653731748,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0
245.793624179113,6.78479462163523,6.77531033521518,9.80442698346451,5.61321007553488,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
329.023661788787,5.34722401062027,7.22852583508939,13.5958692757413,7.04234389588237,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
294.328102245785,5.5419977940619,8.18430371815339,8.10200840234756,9.09703444456682,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1
375.312060299314,8.68703609332442,7.20509242499247,12.3547005932778,12.6187574840151,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1
247.257744033666,14.6096377144568,13.4553271275945,9.09469477133825,9.81167099671438,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0
246.511112890974,13.6612168629654,9.86002632183954,5.91815111925825,7.88469764636829,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
183.652857813791,13.446916860994,8.54595534037799,14.9655352765694,6.36540381936356,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
290.883357994629,13.0067387246527,11.3042095256969,10.3960790974088,10.8906184742227,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0
297.191627610053,5.89932974195108,11.3054079399444,5.13514429097995,8.68722903775051,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0
245.968997850948,11.0727098607458,14.0715342899784,8.83444129489362,11.1202548001893,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1
333.686427310274,5.81359992269427,6.18962496286258,9.69676040345803,10.4473800910637,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
395.343833093051,11.1957553448156,14.0082428930327,12.9355949931778,9.62574456818402,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
222.865095100936,12.0439821528271,6.51176051935181,9.99583181925118,12.1747834351845,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
216.348267108783,14.8525971453637,10.8061923156492,10.1408271864057,8.29252846073359,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
234.488366632315,5.19113442627713,9.98972137458622,14.8116934671998,7.04985867021605,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
189.082268541383,12.7815585699864,14.9693918367848,6.46334949415177,9.93388023227453,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1
146.798905092915,10.2785114571452,12.1627044607885,7.11412882898003,5.98315131152049,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
307.767226561172,10.0695596542209,7.38287896150723,12.3265873687342,10.3767181234434,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
217.236344515897,12.5629163347185,8.39020247105509,10.6794534437358,11.8995920917951,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0
199.283500677877,6.42756009940058,13.0397964152507,7.37744239158928,8.29503170447424,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
67.3834531522684,14.4548017741181,14.7683011554182,6.07856600778177,5.22990083321929,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
296.902182959259,10.6846759631298,11.9419564772397,14.932172826957,8.74343849252909,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
